search_term,package_title,package_name,organization,package_notes,metadata_created,metadata_modified,resource_name,resource_url,resource_format,resource_id,strict_urban_renewal_match,broad_related_match,explicit_urban_renewal_source,matched_strict_keywords,matched_broad_keywords,detected_relevance_reason,preferred_format,candidate_decision,candidate_decision_reason
התחדשות עירונית,התחדשות עירונית,urban_renewal,משרד הבינוי והשיכון,מתחמי התחדשות עירונית במסלולי רשויות ומיסוי אשר עברו הכרזה,2022-12-11T09:23:20.067901,2026-05-23T22:00:22.128551,מתחמי התחדשות עירונית,https://data.gov.il/dataset/0bfc2b7f-5ed6-426a-84de-1a6552a5c35f/resource/f65a0daf-f737-49c5-9424-d378d52104f5/download/hng_ur_mitchamimrashut.csv,CSV,f65a0daf-f737-49c5-9424-d378d52104f5,True,False,False,"[""התחדשות עירונית"", ""התחדשות"", ""מתחמי התחדשות""]",[],matched keyword: התחדשות עירונית; matched keyword: התחדשות; matched keyword: מתחמי התחדשות,True,include_for_download,Strict urban-renewal metadata/source match.
התחדשות עירונית,שכבות מידע גיאוגרפי (GIS) - התחדשות ערונית,gis_urban_renewal,משרד הבינוי והשיכון,כדי לצפות בשכבות וכדי לעיין בנתונים יש להיעזר בתוכנות לצפייה בנתונים גיאוגרפים (GIS).,2022-11-06T07:52:22.120482,2026-04-01T01:00:09.751085,תוכניות מתאר של התחדשות עירונית,https://data.gov.il/dataset/1de95a22-576e-4e9c-b7c4-59db01d85290/resource/38555a84-8523-4ab1-9fe5-df6b523c15ea/download/masterplans.zip,ZIP,38555a84-8523-4ab1-9fe5-df6b523c15ea,True,False,False,"[""התחדשות עירונית"", ""התחדשות""]",[],matched keyword: התחדשות עירונית; matched keyword: התחדשות,True,include_for_download,Strict urban-renewal metadata/source match.
התחדשות עירונית,שכבות מידע גיאוגרפי (GIS) - התחדשות ערונית,gis_urban_renewal,משרד הבינוי והשיכון,כדי לצפות בשכבות וכדי לעיין בנתונים יש להיעזר בתוכנות לצפייה בנתונים גיאוגרפים (GIS).,2022-11-06T07:52:22.120482,2026-04-01T01:00:09.751085,מתחמי התחדשות עירונית מוכרזים,https://data.gov.il/dataset/1de95a22-576e-4e9c-b7c4-59db01d85290/resource/ceb7bbb0-e2db-4e87-8a6c-0a250f5de001/download/officiallydeclaredprojects.zip,ZIP,ceb7bbb0-e2db-4e87-8a6c-0a250f5de001,True,False,False,"[""התחדשות עירונית"", ""התחדשות"", ""מתחמי התחדשות""]",[],matched keyword: התחדשות עירונית; matched keyword: התחדשות; matched keyword: מתחמי התחדשות,True,include_for_download,Strict urban-renewal metadata/source match.
housing,בתי דיור,hostelsgis,משרד הבינוי והשיכון,"מאגר זה מכיל שני משאבים : 
1) מידע כללי אודות בתי הדיור, המיועדים לאכלוס זכאי משרד הקליטה ומשרד הבינוי והשיכון בגיל הזהב. בתי דיור אלו מנוהלים ע""י חברות שונות. 
2) קובץ GIS המכיל את פרטי בתי הדיור.",2023-11-20T06:47:36.218413,2026-05-26T20:00:11.628055,שכבת נתוני בית דיור גיל זהב,https://data.gov.il/dataset/b08fae4e-d4b1-4936-bec0-9340ee2db9b5/resource/0c6fa0a9-a0ef-4860-aa42-ba4d4c78caa4/download/hng_ncs_hostelsgis.csv,CSV,0c6fa0a9-a0ef-4860-aa42-ba4d4c78caa4,False,True,False,[],"[""דיור""]",matched keyword: דיור,True,metadata_only,Broad planning/housing metadata only; not strict enough for automatic ingestion.
housing,בתי דיור,hostelsgis,משרד הבינוי והשיכון,"מאגר זה מכיל שני משאבים : 
1) מידע כללי אודות בתי הדיור, המיועדים לאכלוס זכאי משרד הקליטה ומשרד הבינוי והשיכון בגיל הזהב. בתי דיור אלו מנוהלים ע""י חברות שונות. 
2) קובץ GIS המכיל את פרטי בתי הדיור.",2023-11-20T06:47:36.218413,2026-05-26T20:00:11.628055,שכבת נתוני בית דיור גיל זהב GIS,https://data.gov.il/dataset/b08fae4e-d4b1-4936-bec0-9340ee2db9b5/resource/55bf6bca-e639-4503-8514-4543905b0687/download/hng_ncs_hostelsgis.zip,ZIP,55bf6bca-e639-4503-8514-4543905b0687,False,True,False,[],"[""דיור""]",matched keyword: דיור,True,metadata_only,Broad planning/housing metadata only; not strict enough for automatic ingestion.
housing,נתונים תקופתיים - תכנית דירה בהנחה,mechir-lamishtaken,משרד הבינוי והשיכון,"במאגר זה מתפרסמים נתונים סטטיסטיים תקופתיים בנושא תכנית דירה בהנחה.

קישור לדף נתונים סטטיסטיים שבועיים נוספים:

https://www.gov.il/he/Departments/publications/reports/mishtaken_statistics",2016-08-30T08:04:24.107834,2026-05-26T09:30:18.043025,מעקב אחר הגרלות דירה בהנחה,https://data.gov.il/dataset/31176aa8-1609-4b42-911b-2b0f38ba4dd3/resource/7c8255d0-49ef-49db-8904-4cf917586031/download/hng_hagralotmechirlmishtaken.csv,CSV,7c8255d0-49ef-49db-8904-4cf917586031,False,True,False,[],"[""תכנית""]",matched keyword: תכנית,True,metadata_only,Broad planning/housing metadata only; not strict enough for automatic ingestion.
housing,נתונים תקופתיים - תכנית דירה בהנחה,mechir-lamishtaken,משרד הבינוי והשיכון,"במאגר זה מתפרסמים נתונים סטטיסטיים תקופתיים בנושא תכנית דירה בהנחה.

קישור לדף נתונים סטטיסטיים שבועיים נוספים:

https://www.gov.il/he/Departments/publications/reports/mishtaken_statistics",2016-08-30T08:04:24.107834,2026-05-26T09:30:18.043025,דירות למכירה ללא הגרלה,https://data.gov.il/dataset/31176aa8-1609-4b42-911b-2b0f38ba4dd3/resource/ea93b3c9-15e2-4b74-a632-097ee53737e4/download/hng_hagralotdirotpnuyot4sale.csv,CSV,ea93b3c9-15e2-4b74-a632-097ee53737e4,False,True,False,[],"[""תכנית""]",matched keyword: תכנית,True,metadata_only,Broad planning/housing metadata only; not strict enough for automatic ingestion.
housing,דירות הדיור הציבורי,diurtziburi,משרד הבינוי והשיכון,"מאגר זה מכיל שלושה משאבים: מלאי דירות הדיור הציבורי הראויות למגורים ופנויות למעלה משלושה חודשים, דוח מלאי דירות הדיור הציבורי, ודוח רכישת דירות למלאי הדיור.",2019-03-03T14:55:12.570207,2026-05-21T23:00:15.773794,דירות פנויות בדיור הציבורי,https://data.gov.il/dataset/41c2db9f-4615-4864-af15-5350d794c99c/resource/c3a68837-9b7a-4ee7-bd92-130678dc8ae3/download/hng_ncs_vacantapartments.csv,CSV,c3a68837-9b7a-4ee7-bd92-130678dc8ae3,False,True,False,[],"[""דיור""]",matched keyword: דיור,True,metadata_only,Broad planning/housing metadata only; not strict enough for automatic ingestion.
housing,דירות הדיור הציבורי,diurtziburi,משרד הבינוי והשיכון,"מאגר זה מכיל שלושה משאבים: מלאי דירות הדיור הציבורי הראויות למגורים ופנויות למעלה משלושה חודשים, דוח מלאי דירות הדיור הציבורי, ודוח רכישת דירות למלאי הדיור.",2019-03-03T14:55:12.570207,2026-05-21T23:00:15.773794,מלאי הדירות בדיור הציבורי,https://data.gov.il/dataset/41c2db9f-4615-4864-af15-5350d794c99c/resource/ece87d7d-d79f-4278-8559-921218bc2b6a/download/hng_ncs_propertiesbyrooms.csv,CSV,ece87d7d-d79f-4278-8559-921218bc2b6a,False,True,False,[],"[""דיור""]",matched keyword: דיור,True,metadata_only,Broad planning/housing metadata only; not strict enough for automatic ingestion.
housing,דירות הדיור הציבורי,diurtziburi,משרד הבינוי והשיכון,"מאגר זה מכיל שלושה משאבים: מלאי דירות הדיור הציבורי הראויות למגורים ופנויות למעלה משלושה חודשים, דוח מלאי דירות הדיור הציבורי, ודוח רכישת דירות למלאי הדיור.",2019-03-03T14:55:12.570207,2026-05-21T23:00:15.773794,רכש דירות למלאי הדיור הציבורי,https://data.gov.il/dataset/41c2db9f-4615-4864-af15-5350d794c99c/resource/d6d2046b-ccba-4d09-8778-ee9aa57cdf0c/download/hng_ncs_propertypurchases.csv,CSV,d6d2046b-ccba-4d09-8778-ee9aa57cdf0c,False,True,False,[],"[""דיור""]",matched keyword: דיור,True,metadata_only,Broad planning/housing metadata only; not strict enough for automatic ingestion.
