search_term,package_title,package_name,organization,package_notes,metadata_created,metadata_modified,resource_name,resource_url,resource_format,resource_id
התחדשות עירונית,התחדשות עירונית,urban_renewal,משרד הבינוי והשיכון,מתחמי התחדשות עירונית במסלולי רשויות ומיסוי אשר עברו הכרזה,2022-12-11T09:23:20.067901,2026-05-23T22:00:22.128551,מתחמי התחדשות עירונית,https://data.gov.il/dataset/0bfc2b7f-5ed6-426a-84de-1a6552a5c35f/resource/f65a0daf-f737-49c5-9424-d378d52104f5/download/hng_ur_mitchamimrashut.csv,CSV,f65a0daf-f737-49c5-9424-d378d52104f5
התחדשות עירונית,שכבות מידע גיאוגרפי (GIS) של משרד הבינוי והשיכון,gis-_,משרד הבינוי והשיכון,"כדי לצפות בשכבות וכדי לעיין בנתונים יש להיעזר בתוכנות לצפייה בנתונים גיאוגרפים (GIS).
המאגר מתעדכן פעם בחודש.
",2022-08-11T07:26:14.564686,2026-05-01T07:00:25.260632,שכבת שיקום שכונות (שיפוץ מבנים),https://data.gov.il/dataset/ee626064-7d09-401c-9f32-d5d8947cfc6e/resource/6a52e766-76b7-4de2-b767-dc6caf12ae1f/download/rehabilitation_renovation.zip,ZIP,6a52e766-76b7-4de2-b767-dc6caf12ae1f
התחדשות עירונית,שכבות מידע גיאוגרפי (GIS) של משרד הבינוי והשיכון,gis-_,משרד הבינוי והשיכון,"כדי לצפות בשכבות וכדי לעיין בנתונים יש להיעזר בתוכנות לצפייה בנתונים גיאוגרפים (GIS).
המאגר מתעדכן פעם בחודש.
",2022-08-11T07:26:14.564686,2026-05-01T07:00:25.260632,שכבת שיקום שכונות (גבולות השכונות),https://data.gov.il/dataset/ee626064-7d09-401c-9f32-d5d8947cfc6e/resource/3738b4fb-55c9-4d91-8e96-832f566364b8/download/rehabilitation.zip,ZIP,3738b4fb-55c9-4d91-8e96-832f566364b8
התחדשות עירונית,שכבות מידע גיאוגרפי (GIS) של משרד הבינוי והשיכון,gis-_,משרד הבינוי והשיכון,"כדי לצפות בשכבות וכדי לעיין בנתונים יש להיעזר בתוכנות לצפייה בנתונים גיאוגרפים (GIS).
המאגר מתעדכן פעם בחודש.
",2022-08-11T07:26:14.564686,2026-05-01T07:00:25.260632,שכבות מחיר למשתכן ,https://data.gov.il/dataset/ee626064-7d09-401c-9f32-d5d8947cfc6e/resource/942efa87-f180-45a4-9b9a-f041b6021502/download/gis_dira.zip,ZIP,942efa87-f180-45a4-9b9a-f041b6021502
התחדשות עירונית,שכבות מידע גיאוגרפי (GIS) של משרד הבינוי והשיכון,gis-_,משרד הבינוי והשיכון,"כדי לצפות בשכבות וכדי לעיין בנתונים יש להיעזר בתוכנות לצפייה בנתונים גיאוגרפים (GIS).
המאגר מתעדכן פעם בחודש.
",2022-08-11T07:26:14.564686,2026-05-01T07:00:25.260632,שכבת מחוזות משרד הבינוי והשיכון,https://data.gov.il/dataset/ee626064-7d09-401c-9f32-d5d8947cfc6e/resource/a179fd6a-c493-49d8-ad7c-d225e99b416f/download/districts.zip,ZIP,a179fd6a-c493-49d8-ad7c-d225e99b416f
התחדשות עירונית,שכבות מידע גיאוגרפי (GIS) של משרד הבינוי והשיכון,gis-_,משרד הבינוי והשיכון,"כדי לצפות בשכבות וכדי לעיין בנתונים יש להיעזר בתוכנות לצפייה בנתונים גיאוגרפים (GIS).
המאגר מתעדכן פעם בחודש.
",2022-08-11T07:26:14.564686,2026-05-01T07:00:25.260632,מקרא לשכבת שיקום שכונות - שיפוץ מבנים,https://data.gov.il/dataset/ee626064-7d09-401c-9f32-d5d8947cfc6e/resource/69116559-8225-444b-922d-56c5e08adb42/download/-.docx,DOCX,69116559-8225-444b-922d-56c5e08adb42
התחדשות עירונית,שכבות מידע גיאוגרפי (GIS) - התחדשות ערונית,gis_urban_renewal,משרד הבינוי והשיכון,כדי לצפות בשכבות וכדי לעיין בנתונים יש להיעזר בתוכנות לצפייה בנתונים גיאוגרפים (GIS).,2022-11-06T07:52:22.120482,2026-04-01T01:00:09.751085,תוכניות מתאר של התחדשות עירונית,https://data.gov.il/dataset/1de95a22-576e-4e9c-b7c4-59db01d85290/resource/38555a84-8523-4ab1-9fe5-df6b523c15ea/download/masterplans.zip,ZIP,38555a84-8523-4ab1-9fe5-df6b523c15ea
התחדשות עירונית,שכבות מידע גיאוגרפי (GIS) - התחדשות ערונית,gis_urban_renewal,משרד הבינוי והשיכון,כדי לצפות בשכבות וכדי לעיין בנתונים יש להיעזר בתוכנות לצפייה בנתונים גיאוגרפים (GIS).,2022-11-06T07:52:22.120482,2026-04-01T01:00:09.751085,מתחמי התחדשות עירונית מוכרזים,https://data.gov.il/dataset/1de95a22-576e-4e9c-b7c4-59db01d85290/resource/ceb7bbb0-e2db-4e87-8a6c-0a250f5de001/download/officiallydeclaredprojects.zip,ZIP,ceb7bbb0-e2db-4e87-8a6c-0a250f5de001
פינוי בינוי,שכבות מידע גיאוגרפי (GIS) - התחדשות ערונית,gis_urban_renewal,משרד הבינוי והשיכון,כדי לצפות בשכבות וכדי לעיין בנתונים יש להיעזר בתוכנות לצפייה בנתונים גיאוגרפים (GIS).,2022-11-06T07:52:22.120482,2026-04-01T01:00:09.751085,תוכניות מתאר של התחדשות עירונית,https://data.gov.il/dataset/1de95a22-576e-4e9c-b7c4-59db01d85290/resource/38555a84-8523-4ab1-9fe5-df6b523c15ea/download/masterplans.zip,ZIP,38555a84-8523-4ab1-9fe5-df6b523c15ea
פינוי בינוי,שכבות מידע גיאוגרפי (GIS) - התחדשות ערונית,gis_urban_renewal,משרד הבינוי והשיכון,כדי לצפות בשכבות וכדי לעיין בנתונים יש להיעזר בתוכנות לצפייה בנתונים גיאוגרפים (GIS).,2022-11-06T07:52:22.120482,2026-04-01T01:00:09.751085,מתחמי התחדשות עירונית מוכרזים,https://data.gov.il/dataset/1de95a22-576e-4e9c-b7c4-59db01d85290/resource/ceb7bbb0-e2db-4e87-8a6c-0a250f5de001/download/officiallydeclaredprojects.zip,ZIP,ceb7bbb0-e2db-4e87-8a6c-0a250f5de001
