record_id,source_record_id,city,city_code,neighborhood,street_or_area,complex_name,plan_number,renewal_type,planning_status_raw,planning_status_normalized,declared_complex,existing_units,additional_units,proposed_units,permits_total,declaration_date,validity_year,in_execution,mavat_url,map_url,source_name,source_url,source_type,original_resource_id,last_updated,confidence_level,data_confidence_score,data_quality_flag,lawyer_note,original_file_path,original_row_index,ingestion_timestamp,detected_relevance_reason,has_plan_number,has_mavat_url,has_map_url,has_existing_units,has_proposed_units,has_permits,has_quality_issue,declaration_date_parsed,declaration_year,years_since_declaration,proposed_to_existing_ratio,additional_to_existing_ratio,planning_maturity_score,source_strength_score,scale_score,data_quality_penalty,project_momentum_score,project_momentum_label,project_momentum_explanation,advanced_project_label,ml_advancement_score_oof,ml_advancement_score,ml_advancement_label,ml_model_used,ml_feature_set_used,ml_score_warning,dashboard_note
UR_4001,4001,גבעתים,6300,,,ערבי נחל,גב/490,מיסוי,תכנית מאושרת - אחרי רישוי,PERMIT_APPROVED,1,126.0,108.0,530.0,530.0,2006-08-20,2012.0,False,https://mavat.iplan.gov.il/SV4/1/5073314/310,https://www.govmap.gov.il/map.html?lay=ADD_PROJECTS_UR_MUCHRAZ&bs=moch_projects|MISPARPROJECT~4001,browser_export_f65a0daf-f737-49c5-9424-d378d52104f5,https://mavat.iplan.gov.il/SV4/1/5073314/310,browser_export_official_data_gov_api,f65a0daf-f737-49c5-9424-d378d52104f5,2026-05-26,HIGH,100,OK,Official record found with indication of post-licensing/permit stage; worth deeper legal and planning review. Plan number exists; inspect Mavat documents. Mavat link is available.,data\manual_sources\data_gov_f65a0daf_records.json,0,2026-05-26T15:05:10,Browser-saved official data.gov.il CKAN datastore_search JSON,True,True,True,True,True,True,False,2006-08-20,2006,20,4.2063492063492065,0.8571428571428571,90.0,100.0,75.0,0,92.0,VERY_HIGH,Advanced public status with strong planning-maturity signal. Mavat link available. Manual verification still required.,1,90.5,90.5,HIGH_SIMILARITY,RandomForestClassifier,leakage_safe_feature_set,Indicative ML similarity score only. Not a prediction and not legal/planning advice. Leakage-safe feature set used; status and strong permit/status proxy features excluded.,Public data indicates an advanced or highly mature planning stage. Manual verification is still required. Mavat link available.
UR_4005,4005,קרית אונו,2620,,,ישעיהו,תממ/284,מיסוי,תכנית מאושרת במימוש,CONSTRUCTION,1,198.0,198.0,396.0,228.0,2006-08-20,1998.0,True,https://mavat.iplan.gov.il/SV4/1/5048159/310,https://www.govmap.gov.il/map.html?lay=ADD_PROJECTS_UR_MUCHRAZ&bs=moch_projects|MISPARPROJECT~4005,browser_export_f65a0daf-f737-49c5-9424-d378d52104f5,https://mavat.iplan.gov.il/SV4/1/5048159/310,browser_export_official_data_gov_api,f65a0daf-f737-49c5-9424-d378d52104f5,2026-05-26,HIGH,100,OK,Official record indicates implementation/construction stage; verify current status in Mavat and municipal systems. Plan number exists; inspect Mavat documents. Mavat link is available.,data\manual_sources\data_gov_f65a0daf_records.json,1,2026-05-26T15:05:10,Browser-saved official data.gov.il CKAN datastore_search JSON,True,True,True,True,True,True,False,2006-08-20,2006,20,2.0,1.0,95.0,100.0,75.0,0,94.8,VERY_HIGH,Advanced public status with strong planning-maturity signal. Mavat link available. Manual verification still required.,1,85.6,85.6,HIGH_SIMILARITY,RandomForestClassifier,leakage_safe_feature_set,Indicative ML similarity score only. Not a prediction and not legal/planning advice. Leakage-safe feature set used; status and strong permit/status proxy features excluded.,Public data indicates an advanced or highly mature planning stage. Manual verification is still required. Mavat link available.
UR_4006,4006,קרית אונו,2620,,,שאול המלך,קא/מק/61/285/א,מיסוי,תכנית מאושרת - אחרי רישוי,PERMIT_APPROVED,1,180.0,48.0,531.0,531.0,2004-05-27,2003.0,False,https://mavat.iplan.gov.il/SV4/1/5052333/310,https://www.govmap.gov.il/map.html?lay=ADD_PROJECTS_UR_MUCHRAZ&bs=moch_projects|MISPARPROJECT~4006,browser_export_f65a0daf-f737-49c5-9424-d378d52104f5,https://mavat.iplan.gov.il/SV4/1/5052333/310,browser_export_official_data_gov_api,f65a0daf-f737-49c5-9424-d378d52104f5,2026-05-26,HIGH,100,OK,Official record found with indication of post-licensing/permit stage; worth deeper legal and planning review. Plan number exists; inspect Mavat documents. Mavat link is available.,data\manual_sources\data_gov_f65a0daf_records.json,2,2026-05-26T15:05:10,Browser-saved official data.gov.il CKAN datastore_search JSON,True,True,True,True,True,True,False,2004-05-27,2004,22,2.95,0.26666666666666666,90.0,100.0,75.0,0,92.0,VERY_HIGH,Advanced public status with strong planning-maturity signal. Mavat link available. Manual verification still required.,1,91.3,91.3,HIGH_SIMILARITY,RandomForestClassifier,leakage_safe_feature_set,Indicative ML similarity score only. Not a prediction and not legal/planning advice. Leakage-safe feature set used; status and strong permit/status proxy features excluded.,Public data indicates an advanced or highly mature planning stage. Manual verification is still required. Mavat link available.
UR_4010,4010,ראשון לציון,8300,,,רמת אליהו (פוזננסקי),413-0292680,מיסוי,תכנית מאושרת במימוש,CONSTRUCTION,1,58.0,232.0,290.0,116.0,2017-06-29,2014.0,True,https://mavat.iplan.gov.il/SV4/1/4000346997/310,https://www.govmap.gov.il/map.html?lay=ADD_PROJECTS_UR_MUCHRAZ&bs=moch_projects|MISPARPROJECT~4010,browser_export_f65a0daf-f737-49c5-9424-d378d52104f5,https://mavat.iplan.gov.il/SV4/1/4000346997/310,browser_export_official_data_gov_api,f65a0daf-f737-49c5-9424-d378d52104f5,2026-05-26,HIGH,100,OK,Official record indicates implementation/construction stage; verify current status in Mavat and municipal systems. Plan number exists; inspect Mavat documents. Mavat link is available.,data\manual_sources\data_gov_f65a0daf_records.json,3,2026-05-26T15:05:10,Browser-saved official data.gov.il CKAN datastore_search JSON,True,True,True,True,True,True,False,2017-06-29,2017,9,5.0,4.0,95.0,100.0,60.0,0,93.2,VERY_HIGH,Advanced public status with strong planning-maturity signal. Mavat link available. Manual verification still required.,1,84.2,84.2,HIGH_SIMILARITY,RandomForestClassifier,leakage_safe_feature_set,Indicative ML similarity score only. Not a prediction and not legal/planning advice. Leakage-safe feature set used; status and strong permit/status proxy features excluded.,Public data indicates an advanced or highly mature planning stage. Manual verification is still required. Mavat link available.
UR_4011,4011,ראשון לציון,8300,,,סלע,רצ/מק/1/13/19/4,מיסוי,תכנית מאושרת במימוש,CONSTRUCTION,1,283.0,0.0,1386.0,676.0,2012-02-09,2009.0,True,https://mavat.iplan.gov.il/SV4/1/4097824/310,https://www.govmap.gov.il/map.html?lay=ADD_PROJECTS_UR_MUCHRAZ&bs=moch_projects|MISPARPROJECT~4011,browser_export_f65a0daf-f737-49c5-9424-d378d52104f5,https://mavat.iplan.gov.il/SV4/1/4097824/310,browser_export_official_data_gov_api,f65a0daf-f737-49c5-9424-d378d52104f5,2026-05-26,HIGH,100,OK,Official record indicates implementation/construction stage; verify current status in Mavat and municipal systems. Plan number exists; inspect Mavat documents. Mavat link is available.,data\manual_sources\data_gov_f65a0daf_records.json,4,2026-05-26T15:05:10,Browser-saved official data.gov.il CKAN datastore_search JSON,True,True,True,True,True,True,False,2012-02-09,2012,14,4.897526501766785,0.0,95.0,100.0,90.0,0,96.2,VERY_HIGH,Advanced public status with strong planning-maturity signal. Mavat link available. Manual verification still required.,1,88.1,88.1,HIGH_SIMILARITY,RandomForestClassifier,leakage_safe_feature_set,Indicative ML similarity score only. Not a prediction and not legal/planning advice. Leakage-safe feature set used; status and strong permit/status proxy features excluded.,Public data indicates an advanced or highly mature planning stage. Manual verification is still required. Mavat link available.
UR_4012,4012,רעננה,8700,,,ברנדיס,רע/1/511,מיסוי,תכנית מאושרת - אחרי רישוי,PERMIT_APPROVED,1,39.0,81.0,136.0,136.0,2017-01-19,2015.0,False,https://mavat.iplan.gov.il/SV4/1/4060866/310,https://www.govmap.gov.il/map.html?lay=ADD_PROJECTS_UR_MUCHRAZ&bs=moch_projects|MISPARPROJECT~4012,browser_export_f65a0daf-f737-49c5-9424-d378d52104f5,https://mavat.iplan.gov.il/SV4/1/4060866/310,browser_export_official_data_gov_api,f65a0daf-f737-49c5-9424-d378d52104f5,2026-05-26,HIGH,100,OK,Official record found with indication of post-licensing/permit stage; worth deeper legal and planning review. Plan number exists; inspect Mavat documents. Mavat link is available.,data\manual_sources\data_gov_f65a0daf_records.json,5,2026-05-26T15:05:10,Browser-saved official data.gov.il CKAN datastore_search JSON,True,True,True,True,True,True,False,2017-01-19,2017,9,3.4871794871794872,2.076923076923077,90.0,100.0,60.0,0,90.5,VERY_HIGH,Advanced public status with strong planning-maturity signal. Mavat link available. Manual verification still required.,1,91.3,91.3,HIGH_SIMILARITY,RandomForestClassifier,leakage_safe_feature_set,Indicative ML similarity score only. Not a prediction and not legal/planning advice. Leakage-safe feature set used; status and strong permit/status proxy features excluded.,Public data indicates an advanced or highly mature planning stage. Manual verification is still required. Mavat link available.
UR_4017,4017,תל אביב יפו,5000,,,רקאנטי,תא/3850/מח,מיסוי,תכנית מאושרת - אחרי רישוי,PERMIT_APPROVED,1,96.0,102.0,198.0,198.0,2012-02-09,2012.0,False,https://mavat.iplan.gov.il/SV4/1/5075751/310,https://www.govmap.gov.il/map.html?lay=ADD_PROJECTS_UR_MUCHRAZ&bs=moch_projects|MISPARPROJECT~4017,browser_export_f65a0daf-f737-49c5-9424-d378d52104f5,https://mavat.iplan.gov.il/SV4/1/5075751/310,browser_export_official_data_gov_api,f65a0daf-f737-49c5-9424-d378d52104f5,2026-05-26,HIGH,100,OK,Official record found with indication of post-licensing/permit stage; worth deeper legal and planning review. Plan number exists; inspect Mavat documents. Mavat link is available.,data\manual_sources\data_gov_f65a0daf_records.json,6,2026-05-26T15:05:10,Browser-saved official data.gov.il CKAN datastore_search JSON,True,True,True,True,True,True,False,2012-02-09,2012,14,2.0625,1.0625,90.0,100.0,60.0,0,90.5,VERY_HIGH,Advanced public status with strong planning-maturity signal. Mavat link available. Manual verification still required.,1,88.2,88.2,HIGH_SIMILARITY,RandomForestClassifier,leakage_safe_feature_set,Indicative ML similarity score only. Not a prediction and not legal/planning advice. Leakage-safe feature set used; status and strong permit/status proxy features excluded.,Public data indicates an advanced or highly mature planning stage. Manual verification is still required. Mavat link available.
UR_4018,4018,תל אביב יפו,5000,,,טאגור,תא/3853/מח,מיסוי,תכנית מאושרת - אחרי רישוי,PERMIT_APPROVED,1,60.0,84.0,144.0,144.0,2012-02-09,2012.0,False,https://mavat.iplan.gov.il/SV4/1/5075936/310,https://www.govmap.gov.il/map.html?lay=ADD_PROJECTS_UR_MUCHRAZ&bs=moch_projects|MISPARPROJECT~4018,browser_export_f65a0daf-f737-49c5-9424-d378d52104f5,https://mavat.iplan.gov.il/SV4/1/5075936/310,browser_export_official_data_gov_api,f65a0daf-f737-49c5-9424-d378d52104f5,2026-05-26,HIGH,100,OK,Official record found with indication of post-licensing/permit stage; worth deeper legal and planning review. Plan number exists; inspect Mavat documents. Mavat link is available.,data\manual_sources\data_gov_f65a0daf_records.json,7,2026-05-26T15:05:10,Browser-saved official data.gov.il CKAN datastore_search JSON,True,True,True,True,True,True,False,2012-02-09,2012,14,2.4,1.4,90.0,100.0,60.0,0,90.5,VERY_HIGH,Advanced public status with strong planning-maturity signal. Mavat link available. Manual verification still required.,1,87.8,87.8,HIGH_SIMILARITY,RandomForestClassifier,leakage_safe_feature_set,Indicative ML similarity score only. Not a prediction and not legal/planning advice. Leakage-safe feature set used; status and strong permit/status proxy features excluded.,Public data indicates an advanced or highly mature planning stage. Manual verification is still required. Mavat link available.
UR_4024,4024,תל אביב יפו,5000,,,הדר יוסף - לודג',תא/מק/3569,מיסוי,תכנית מאושרת לפני מימוש,PLAN_APPROVED,1,193.0,0.0,288.0,,2011-05-26,2006.0,False,https://mavat.iplan.gov.il/SV4/1/5053862/310,https://www.govmap.gov.il/map.html?lay=ADD_PROJECTS_UR_MUCHRAZ&bs=moch_projects|MISPARPROJECT~4024,browser_export_f65a0daf-f737-49c5-9424-d378d52104f5,https://mavat.iplan.gov.il/SV4/1/5053862/310,browser_export_official_data_gov_api,f65a0daf-f737-49c5-9424-d378d52104f5,2026-05-26,HIGH,100,OK,Official urban renewal record found. Approved planning status appears in the public source; recommended to inspect Mavat documents. Plan number exists; inspect Mavat documents. Mavat link is available.,data\manual_sources\data_gov_f65a0daf_records.json,8,2026-05-26T15:05:10,Browser-saved official data.gov.il CKAN datastore_search JSON,True,True,True,True,True,False,False,2011-05-26,2011,15,1.4922279792746114,0.0,70.0,100.0,50.0,0,78.5,HIGH,High maturity score due to approved planning status. Mavat link available. Manual verification still required.,1,91.3,91.3,HIGH_SIMILARITY,RandomForestClassifier,leakage_safe_feature_set,Indicative ML similarity score only. Not a prediction and not legal/planning advice. Leakage-safe feature set used; status and strong permit/status proxy features excluded.,Public data indicates meaningful planning advancement. Recommended to inspect official documents. Mavat link available.
UR_4025,4025,קרית מלאכי,1034,,,בלוק 101,617-0379792,מיסוי,תכנית מאושרת - אחרי רישוי,PERMIT_APPROVED,1,40.0,45.0,195.0,195.0,2022-04-06,2019.0,False,https://mavat.iplan.gov.il/SV4/1/6000390577/310,https://www.govmap.gov.il/map.html?lay=ADD_PROJECTS_UR_MUCHRAZ&bs=moch_projects|MISPARPROJECT~4025,browser_export_f65a0daf-f737-49c5-9424-d378d52104f5,https://mavat.iplan.gov.il/SV4/1/6000390577/310,browser_export_official_data_gov_api,f65a0daf-f737-49c5-9424-d378d52104f5,2026-05-26,HIGH,100,OK,Official record found with indication of post-licensing/permit stage; worth deeper legal and planning review. Plan number exists; inspect Mavat documents. Mavat link is available.,data\manual_sources\data_gov_f65a0daf_records.json,9,2026-05-26T15:05:10,Browser-saved official data.gov.il CKAN datastore_search JSON,True,True,True,True,True,True,False,2022-04-06,2022,4,4.875,1.125,90.0,100.0,60.0,0,90.5,VERY_HIGH,Advanced public status with strong planning-maturity signal. Mavat link available. Manual verification still required.,1,72.9,72.9,HIGH_SIMILARITY,RandomForestClassifier,leakage_safe_feature_set,Indicative ML similarity score only. Not a prediction and not legal/planning advice. Leakage-safe feature set used; status and strong permit/status proxy features excluded.,Public data indicates an advanced or highly mature planning stage. Manual verification is still required. Mavat link available.
