endpoint,method,search_term,status_code,content_type,response_preview,parsed_json_success,error_message
https://data.gov.il/api/3/action/package_search,GET,התחדשות עירונית,200,application/json;charset=utf-8,"{""help"": ""https://data.gov.il/api/3/action/help_show?name=package_search"", ""success"": true, ""result"": {""count"": 3, ""facets"": {}, ""results"": [{""Frequency"": ""Week"", ""Update"": ""Automat"", ""author"": null, ""author_email"": ""datagov@moch.gov.il"", ""creator_user_id"": ""a829e97b-6a2a-46dd-aa46-d7c193cc51ad"", ""id"": ""0bfc2b7f-5ed6-426a-84de-1a6552a5c35f"", ""isopen"": true, ""license_id"": ""other-open"", ""license_title"": ""\u05d0\u05d7\u05e8 (\u05e4\u05ea\u05d5\u05d7)"", ""mail_box"": ""datagov@moch.gov.il"", ""maintainer",True,
https://data.gov.il/api/3/action/package_search,GET,פינוי בינוי,200,application/json;charset=utf-8,"{""help"": ""https://data.gov.il/api/3/action/help_show?name=package_search"", ""success"": true, ""result"": {""count"": 1, ""facets"": {}, ""results"": [{""Frequency"": ""Month"", ""Update"": ""Automat"", ""author"": null, ""author_email"": ""datagov@moch.gov.il"", ""creator_user_id"": ""a829e97b-6a2a-46dd-aa46-d7c193cc51ad"", ""id"": ""1de95a22-576e-4e9c-b7c4-59db01d85290"", ""isopen"": true, ""license_id"": ""other-open"", ""license_title"": ""\u05d0\u05d7\u05e8 (\u05e4\u05ea\u05d5\u05d7)"", ""mail_box"": ""datagov@moch.gov.il"", ""maintaine",True,
https://data.gov.il/api/3/action/package_search,GET,"תמ""א 38",200,application/json;charset=utf-8,"{""help"": ""https://data.gov.il/api/3/action/help_show?name=package_search"", ""success"": true, ""result"": {""count"": 0, ""facets"": {}, ""results"": [], ""sort"": ""metadata_modified desc"", ""search_facets"": {}}}",True,
https://data.gov.il/api/3/action/package_search,GET,מתחמי התחדשות,200,application/json;charset=utf-8,"{""help"": ""https://data.gov.il/api/3/action/help_show?name=package_search"", ""success"": true, ""result"": {""count"": 2, ""facets"": {}, ""results"": [{""Frequency"": ""Week"", ""Update"": ""Automat"", ""author"": null, ""author_email"": ""datagov@moch.gov.il"", ""creator_user_id"": ""a829e97b-6a2a-46dd-aa46-d7c193cc51ad"", ""id"": ""0bfc2b7f-5ed6-426a-84de-1a6552a5c35f"", ""isopen"": true, ""license_id"": ""other-open"", ""license_title"": ""\u05d0\u05d7\u05e8 (\u05e4\u05ea\u05d5\u05d7)"", ""mail_box"": ""datagov@moch.gov.il"", ""maintainer",True,
https://data.gov.il/api/3/action/package_search,GET,רשות ממשלתית להתחדשות עירונית,200,application/json;charset=utf-8,"{""help"": ""https://data.gov.il/api/3/action/help_show?name=package_search"", ""success"": true, ""result"": {""count"": 0, ""facets"": {}, ""results"": [], ""sort"": ""metadata_modified desc"", ""search_facets"": {}}}",True,
https://data.gov.il/api/3/action/package_search,GET,urban renewal,200,application/json;charset=utf-8,"{""help"": ""https://data.gov.il/api/3/action/help_show?name=package_search"", ""success"": true, ""result"": {""count"": 2, ""facets"": {}, ""results"": [{""Frequency"": ""Week"", ""Update"": ""Automat"", ""author"": null, ""author_email"": ""datagov@moch.gov.il"", ""creator_user_id"": ""a829e97b-6a2a-46dd-aa46-d7c193cc51ad"", ""id"": ""0bfc2b7f-5ed6-426a-84de-1a6552a5c35f"", ""isopen"": true, ""license_id"": ""other-open"", ""license_title"": ""\u05d0\u05d7\u05e8 (\u05e4\u05ea\u05d5\u05d7)"", ""mail_box"": ""datagov@moch.gov.il"", ""maintainer",True,
https://data.gov.il/api/3/action/package_search,GET,renewal,200,application/json;charset=utf-8,"{""help"": ""https://data.gov.il/api/3/action/help_show?name=package_search"", ""success"": true, ""result"": {""count"": 2, ""facets"": {}, ""results"": [{""Frequency"": ""Week"", ""Update"": ""Automat"", ""author"": null, ""author_email"": ""datagov@moch.gov.il"", ""creator_user_id"": ""a829e97b-6a2a-46dd-aa46-d7c193cc51ad"", ""id"": ""0bfc2b7f-5ed6-426a-84de-1a6552a5c35f"", ""isopen"": true, ""license_id"": ""other-open"", ""license_title"": ""\u05d0\u05d7\u05e8 (\u05e4\u05ea\u05d5\u05d7)"", ""mail_box"": ""datagov@moch.gov.il"", ""maintainer",True,
https://data.gov.il/api/3/action/package_search,GET,housing,200,application/json;charset=utf-8,"{""help"": ""https://data.gov.il/api/3/action/help_show?name=package_search"", ""success"": true, ""result"": {""count"": 14, ""facets"": {}, ""results"": [{""Frequency"": ""Week"", ""Update"": ""Automat"", ""author"": null, ""author_email"": ""datagov@moch.gov.il"", ""creator_user_id"": ""a829e97b-6a2a-46dd-aa46-d7c193cc51ad"", ""id"": ""b08fae4e-d4b1-4936-bec0-9340ee2db9b5"", ""isopen"": true, ""license_id"": ""other-open"", ""license_title"": ""\u05d0\u05d7\u05e8 (\u05e4\u05ea\u05d5\u05d7)"", ""mail_box"": ""datagov@moch.gov.il"", ""maintaine",True,
https://data.gov.il/api/3/action/package_search,GET,תכנון,200,application/json;charset=utf-8,"{""help"": ""https://data.gov.il/api/3/action/help_show?name=package_search"", ""success"": true, ""result"": {""count"": 49, ""facets"": {}, ""results"": [{""Frequency"": ""Day"", ""Update"": ""Automat"", ""author"": null, ""author_email"": ""rapha@mot.gov.il"", ""creator_user_id"": ""31a8ed93-a5ab-4bd6-9946-62e7f4ff99ed"", ""id"": ""63b7bf0b-69eb-4a73-9b98-b9fd2b8a4b5b"", ""isopen"": true, ""license_id"": ""other-open"", ""license_title"": ""\u05d0\u05d7\u05e8 (\u05e4\u05ea\u05d5\u05d7)"", ""mail_box"": """", ""maintainer"": null, ""maintainer_e",True,
https://data.gov.il/api/3/action/package_search,GET,תכנית,200,application/json;charset=utf-8,"{""help"": ""https://data.gov.il/api/3/action/help_show?name=package_search"", ""success"": true, ""result"": {""count"": 48, ""facets"": {}, ""results"": [{""Frequency"": ""Week"", ""Update"": ""Automat"", ""author"": null, ""author_email"": ""datagov@moch.gov.il"", ""creator_user_id"": ""36d8b096-fa72-45af-a34b-82715562998f"", ""id"": ""31176aa8-1609-4b42-911b-2b0f38ba4dd3"", ""isopen"": false, ""license_id"": """", ""license_title"": """", ""mail_box"": ""datagov@moch.gov.il"", ""maintainer"": null, ""maintainer_email"": null, ""metadata_created""",True,
https://data.gov.il/api/3/action/package_search,GET,תוכניות,200,application/json;charset=utf-8,"{""help"": ""https://data.gov.il/api/3/action/help_show?name=package_search"", ""success"": true, ""result"": {""count"": 16, ""facets"": {}, ""results"": [{""Frequency"": ""Month"", ""Update"": ""Manual"", ""author"": null, ""author_email"": ""elena@mapi.gov.il"", ""author_notification"": ""True"", ""creator_user_id"": ""fe2ccffb-a7bc-47c9-b35e-599f8ca0040a"", ""id"": ""94031fa3-c664-4d68-9980-27a29d313e72"", ""isopen"": true, ""license_id"": ""other-open"", ""license_title"": ""\u05d0\u05d7\u05e8 (\u05e4\u05ea\u05d5\u05d7)"", ""mail_box"": ""ele",True,
https://data.gov.il/api/3/action/datastore_search,GET,resource_id:f65a0daf-f737-49c5-9424-d378d52104f5;offset:0,200,application/json;charset=utf-8,"{""help"": ""https://data.gov.il/api/3/action/help_show?name=datastore_search"", ""success"": true, ""result"": {""include_total"": true, ""limit"": 5000, ""offset"": 0, ""records_format"": ""objects"", ""resource_id"": ""f65a0daf-f737-49c5-9424-d378d52104f5"", ""total_estimation_threshold"": null, ""records"": [{""_id"":1,""MisparMitham"":4001,""Yeshuv"":""גבעתים                                                                                                                                                                       ",True,
